summer,winter,name,fall,spring,number,description
 , ,Advanced Topics in Bayesian Statistics, ,[u'Section 01'],AMS291,"[u'Advanced study of research topics in the theory, methods, or applications of Bayesian statistics. The specific subject depends on the instructor. Enrollment restricted to graduate students and by permission of instructor. May be repeated for credit. E. Anderson', u'5 Credits']"
 , ,Programming for Biologists and Biochemists, ,[u'Section 01'],BME60,"[u'Lecture and lab-based course teaching programming skills needed by biologists and biochemists. No programming experience required, but basic computer skills assumed. Students without prior programming experience will be taught the basic proficiency in the Python scripting programming language,Perl, BioPerl, and other Perl libraries needed to analyze, transform, and publish biological data.  Students cannot receive credit for this course and Biomolecular Engineering 160 or Biology 180.  (Formerly ""Programming for Biologists and Biochemists"") Prerequisite(s): Biology 20A or 21A. Concurrent enrollment in course 60L required. (General Education Code(s): MF - Mathematical and Formal Reasoning) J. Stuart, The Staff', u'5 Credits']"
 , ,Pre-Statistics,[u'Section 01'], ,AMS2,"[u'Reviews and introduces mathematical methods useful in the elementary study of statistics, including logic, real numbers, inequalities, linear and quadratic equations, functions, graphs, exponential and logarithmic functions, and summation notation.  Prerequisite(s): Mathematics 2 or placement exam score of 20 or higher. (General Education Code(s): Q, MF - Mathematical and Formal Reasoning) B. Mendes, The Staff', u'5 Credits']"
 ,[u'Section 01'],Introduction to Biotechnology,[u'Section 01'],[u'Section 01'],BME5,"[u'Introduces the tools and applications of biotechnology in the fields of medicine, agriculture, the environment, and industry. (General Education Code(s): PE-T,IN.) W. Rothwell, The Staff', u'5 Credits']"
 , ,Thesis Research, , ,AMS299,"[u'Thesis research under faculty supervision. Students submit petition to sponsoring agency. Enrollment restricted to graduate students. The Staff', u'5 Credits']"
 , ,Independent Study or Research, , ,AMS297,"[u'Independent study or research under faculty supervision. Students submit petition to sponsoring agency. Enrollment restricted to graduate students. The Staff', u'5 Credits']"
 , ,Masters Project, , ,AMS296,"[u'Independent completion of a masters project under faculty supervision. Students submit petition to sponsoring agency. Enrollment restricted to graduate students. May be repeated for credit. The Staff', u'2 Credits']"
 , ,Independent Study, , ,AMS297F,"[u'Independent study or research under faculty supervision. Students submit petition to sponsoring agency. Enrollment restricted to graduate students. May be repeated for credit. The Staff', u'2 Credits']"
 ,[u'Section 01'],Advanced Topics in the Numerical Solution of PDEs, ,[u'Section 01'],AMS290B,"[u'Modern practical methods for the numerical solution of partial differential equations. Methods considered depend on the expertise of the instructor, but are covered in-depth and up to the cutting-edge of practical contemporary implementation. Content could be method-based (e.g., spectral methods, finite-element methods) or topic-based (e.g., simulations of turbulence). Some programming and numerical analysis (e.g., course 213) highly recommended. Enrollment restricted to graduate students and undergraduates with permission of the instructor. Enrollment restricted to graduate students and undergraduates with permission of the instructor. N. Brummell, P. Garaud, H. Wang', u'5 Credits']"
 , ,Seminar in Career Skills,[u'Section 01'], ,AMS285,"[u'Seminar in career skills for applied mathematicians and statisticians. Learn about professional activities such as the publication process, grant proposals, and the job market. Enrollment restricted to graduate students, typically within two years of their expected Ph.D. completion date. The Staff', u'2 Credits']"
